0,1,2,3,4,5,6,7,time_stamp
42.3,0.0,49.0,3.8,14.0,0.0,19.2,1.9,0.0
41.2,0.0,26.9,0.0,17.6,0.0,37.3,0.0,0.5
25.0,0.0,45.1,0.0,22.0,2.0,9.8,0.0,1.0
33.3,7.7,50.0,3.9,32.0,2.0,42.3,1.9,1.5
64.7,0.0,7.8,0.0,29.4,0.0,7.7,0.0,2.0
32.0,0.0,60.8,0.0,5.9,0.0,19.2,0.0,2.5
37.3,0.0,29.4,2.0,15.7,0.0,32.7,3.8,3.0
33.3,0.0,39.2,0.0,14.0,0.0,19.6,0.0,3.5
31.4,0.0,15.7,0.0,37.3,0.0,19.2,0.0,4.0
7.8,2.0,42.3,0.0,19.6,0.0,37.3,0.0,4.5
25.5,0.0,28.8,0.0,19.6,0.0,37.3,0.0,5.0
18.0,0.0,3.9,0.0,47.1,0.0,39.2,0.0,5.5
