0,1,2,3,4,5,6,7,time_stamp
80.0,13.7,77.6,13.7,76.5,9.8,74.5,8.0,0.0
92.0,29.4,92.0,23.5,92.0,27.5,88.0,30.0,0.5
76.0,17.6,71.4,14.0,74.5,11.8,76.5,13.7,1.0
94.1,26.0,88.2,22.0,80.8,19.6,86.3,23.5,1.5
44.0,3.9,37.3,3.9,32.0,5.9,27.5,2.0,2.0
50.0,3.9,47.1,2.0,33.3,2.0,24.0,2.0,2.5
50.0,2.0,42.3,2.0,32.7,2.0,29.4,3.8,3.0
47.1,0.0,46.0,0.0,29.4,3.8,29.4,3.9,3.5
68.6,3.8,56.0,3.9,47.1,2.0,40.0,3.8,4.0
46.9,2.0,54.0,3.8,50.0,3.9,40.0,0.0,4.5
44.9,12.2,56.0,11.8,51.0,12.0,52.9,14.0,5.0
56.0,3.9,46.9,0.0,45.1,2.0,40.4,5.8,5.5
46.0,2.0,50.0,2.0,46.0,2.0,48.0,2.0,6.0
55.1,2.0,49.0,3.9,41.7,2.0,39.2,2.0,6.5
48.0,2.0,51.0,3.9,49.0,2.0,42.9,3.9,7.0
42.0,3.8,52.0,2.0,54.0,2.0,33.3,2.0,7.5
34.0,0.0,39.2,0.0,26.0,0.0,17.6,0.0,8.0
56.9,1.9,28.0,2.0,29.4,0.0,21.6,0.0,8.5
45.1,0.0,27.5,2.0,30.0,0.0,24.0,1.9,9.0
54.9,3.9,42.3,5.9,41.2,3.9,38.0,5.8,9.5
21.6,3.8,45.1,0.0,17.6,0.0,18.4,0.0,10.0
40.4,0.0,32.0,0.0,11.8,0.0,26.9,0.0,10.5
35.3,0.0,54.9,0.0,9.8,0.0,17.6,3.8,11.0
13.7,0.0,14.0,0.0,54.9,0.0,23.1,0.0,11.5
44.0,3.9,39.2,2.0,23.1,0.0,26.9,3.9,12.0
34.6,0.0,27.5,2.0,28.0,2.0,36.5,2.0,12.5
42.3,0.0,35.3,0.0,17.6,0.0,22.0,2.0,13.0
56.0,0.0,28.0,0.0,26.9,0.0,19.6,0.0,13.5
36.0,0.0,28.0,2.0,30.0,0.0,26.0,0.0,14.0
48.1,1.9,37.3,0.0,25.5,1.9,25.5,0.0,14.5
46.2,0.0,39.2,3.8,33.3,0.0,26.9,0.0,15.0
56.0,5.9,52.9,5.9,50.0,4.0,51.0,4.0,15.5
43.1,0.0,42.0,0.0,27.5,0.0,22.0,0.0,16.0
41.2,0.0,34.0,0.0,28.8,2.0,23.5,0.0,16.5
41.2,0.0,29.4,0.0,27.5,0.0,26.9,1.9,17.0
66.0,0.0,57.7,2.0,41.2,0.0,40.0,4.0,17.5
51.0,4.0,38.0,2.0,26.0,3.8,38.0,0.0,18.0
28.0,0.0,34.0,3.9,26.9,0.0,17.6,3.8,18.5
18.0,0.0,40.4,0.0,33.3,0.0,15.7,0.0,19.0
14.0,0.0,26.9,0.0,42.0,0.0,28.0,0.0,19.5
48.1,3.9,29.4,0.0,24.0,0.0,5.9,0.0,20.0
31.4,0.0,9.8,0.0,56.9,2.0,26.0,0.0,20.5
24.0,0.0,52.9,1.9,9.8,0.0,23.5,0.0,21.0
39.2,0.0,34.0,0.0,11.8,0.0,27.5,0.0,21.5
17.6,0.0,46.9,0.0,15.7,0.0,24.0,0.0,22.0
36.0,0.0,23.5,0.0,23.1,0.0,27.5,3.8,22.5
32.7,3.9,37.3,3.9,27.5,3.9,47.1,2.0,23.0
26.0,2.0,35.3,0.0,19.6,2.0,48.1,2.0,23.5
30.0,3.8,30.0,0.0,38.5,2.0,35.3,3.8,24.0
19.6,0.0,29.4,1.9,37.3,0.0,28.8,0.0,24.5
27.5,0.0,47.1,0.0,15.4,0.0,23.5,0.0,25.0
36.0,0.0,13.7,0.0,19.6,0.0,46.2,0.0,25.5
51.9,0.0,36.7,0.0,21.6,0.0,5.8,0.0,26.0
48.0,0.0,34.0,1.9,28.0,0.0,47.1,0.0,26.5
28.0,2.0,47.1,3.8,56.0,0.0,39.2,0.0,27.0
43.1,0.0,32.0,0.0,44.2,0.0,37.3,0.0,27.5
46.0,1.9,54.0,0.0,22.0,0.0,29.4,0.0,28.0
43.1,0.0,42.0,0.0,56.0,0.0,21.6,2.0,28.5
30.6,0.0,30.0,2.0,20.4,0.0,12.2,0.0,29.0
