CMDLINE /Users/georgiosmitsos/anaconda3/bin/python artificialneuralnetwork.py
MEM 0.156250 1708550844.0081
MEM 27.437500 1708550844.1121
MEM 39.953125 1708550844.2173
MEM 50.953125 1708550844.3224
MEM 67.421875 1708550844.4293
MEM 77.328125 1708550844.5372
MEM 85.359375 1708550844.6379
MEM 90.656250 1708550844.7431
MEM 103.171875 1708550844.8483
MEM 184.734375 1708550844.9534
MEM 305.625000 1708550845.0586
MEM 330.046875 1708550845.1638
MEM 355.875000 1708550845.2690
MEM 379.750000 1708550845.3742
MEM 401.218750 1708550845.4794
MEM 434.484375 1708550845.5846
MEM 455.625000 1708550845.6897
MEM 203.546875 1708550845.7949
MEM 237.671875 1708550845.8995
MEM 247.468750 1708550846.0072
MEM 247.656250 1708550846.1139
MEM 247.906250 1708550846.2176
MEM 247.906250 1708550846.3252
MEM 254.218750 1708550846.4351
MEM 254.343750 1708550846.5406
MEM 254.343750 1708550846.6446
MEM 254.390625 1708550846.7505
MEM 262.187500 1708550846.8558
MEM 262.187500 1708550846.9604
MEM 267.750000 1708550847.0638
MEM 267.765625 1708550847.1713
MEM 267.765625 1708550847.2766
MEM 274.921875 1708550847.3814
MEM 275.000000 1708550847.4866
MEM 275.000000 1708550847.5914
MEM 275.000000 1708550847.6959
MEM 275.000000 1708550847.8016
MEM 275.187500 1708550847.9077
MEM 275.531250 1708550848.0197
MEM 275.531250 1708550848.1320
MEM 275.656250 1708550848.2334
MEM 275.687500 1708550848.3392
MEM 280.984375 1708550848.4427
MEM 280.984375 1708550848.5479
MEM 280.984375 1708550848.6543
MEM 282.671875 1708550848.7664
MEM 282.671875 1708550848.8726
MEM 283.015625 1708550848.9829
MEM 283.015625 1708550849.0875
MEM 283.015625 1708550849.1927
MEM 283.015625 1708550849.3000
MEM 283.015625 1708550849.4092
MEM 288.515625 1708550849.5148
MEM 291.937500 1708550849.6234
MEM 291.953125 1708550849.7309
MEM 291.953125 1708550849.8360
MEM 291.968750 1708550849.9409
MEM 291.968750 1708550850.0462
MEM 292.109375 1708550850.1549
MEM 295.515625 1708550850.2591
MEM 295.515625 1708550850.3659
MEM 295.515625 1708550850.4729
MEM 295.734375 1708550850.5790
MEM 295.734375 1708550850.6819
MEM 295.734375 1708550850.7851
MEM 295.734375 1708550850.8919
MEM 295.734375 1708550850.9971
MEM 295.734375 1708550851.1042
MEM 295.734375 1708550851.2045
MEM 295.734375 1708550851.3097
MEM 295.734375 1708550851.4194
MEM 295.734375 1708550851.5274
MEM 295.734375 1708550851.6336
MEM 295.734375 1708550851.7375
MEM 295.734375 1708550851.8402
MEM 295.734375 1708550851.9454
MEM 295.890625 1708550852.0517
MEM 295.890625 1708550852.1549
MEM 295.890625 1708550852.2602
